product_name,product_price,product_quantity,date_updated
Wine - Chateau Bonnet,741,54,2018-03-10 00:00:00
Bagel - Whole White Sesame,430,97,2018-11-01 00:00:00
Sauce - Caesar Dressing,825,16,2019-04-10 00:00:00
Shiratamako - Rice Flour,799,71,2018-03-07 00:00:00
Tart - Raisin And Pecan,106,86,2019-01-18 00:00:00
Radish,247,22,2018-11-06 00:00:00
Juice - V8 Splash,115,67,2018-01-13 00:00:00
Red Currants,677,49,2018-10-01 00:00:00
Soup - Base Broth Beef,544,62,2019-03-09 00:00:00
Tomatoes Tear Drop Yellow,64,73,2019-02-09 00:00:00
Mussels - Cultivated,934,24,2018-07-31 00:00:00
"Bread - Crumbs, Bulk",449,88,2019-01-12 00:00:00
"Beans - Long, Chinese",473,47,2018-09-22 00:00:00
"Beans - Navy, Dry",460,44,2018-01-20 00:00:00
"Basil - Dry, Rubbed",869,21,2018-02-04 00:00:00
Apple - Granny Smith,506,72,2018-01-12 00:00:00
"Lid - High Heat, Super Clear",123,5,2018-02-09 00:00:00
Oranges - Navel,478,46,2018-06-06 00:00:00
Berry Brulee,759,50,2018-08-25 00:00:00
Lobster - Canned Premium,761,57,2018-04-15 00:00:00
Ham - Procutinni,570,8,2019-01-09 00:00:00
Veal - Ground,767,5,2018-12-19 00:00:00
Oil - Cooking Spray,420,6,2018-06-11 00:00:00
"Extract - Vanilla,artificial",291,20,2018-06-08 00:00:00
"Mushroom - Porcini, Dry",814,71,2018-07-26 00:00:00
Chili,2,45,2020-06-01 10:54:00.214091
Pants,325,60,2020-06-01 11:01:01.448061
apple,235,65,2020-06-02 10:22:22.428367
carrots,2500,50,2020-06-02 10:23:12.067953
chili,325,4,2020-06-02 10:29:12.480826
OLIVES,3200,33,2020-06-02 10:31:51.763547
Flour,430,4,2020-06-02 10:32:57.298911
Cheerios,895,34,2020-06-02 11:06:31.766154
Gum,225,100,2020-06-02 11:15:38.308328
&,100,32,2020-06-02 12:52:46.101223
&*(),200,4,2020-06-02 12:55:00.051740
Paper,1200,100,2020-06-02 16:19:26.951742
Dress,10000,43,2020-06-02 17:02:59.771778
Speaker,30000,2,2020-06-02 17:55:58.370270
